015C;348;348
015C;348;348
01FB;507;507
01FB;507;507
01FB;507;507
01FB;507;507
020B;523;523
020B;523;523
01D3;467;467
01D3;467;467
01F3;499;499
01F3;499;499
01FB;507;507
01FB;507;507
213;531;531
213;531;531
252;594;594
252;594;594
01FB;507;507
01FB;507;507
203;515;515
203;515;515
203;515;515
203;515;515
232;562;562
232;562;562
222;546;546
222;546;546
252;594;594
252;594;594
023A;570;570
023A;570;570
022A;554;554
022A;554;554
262;610;610
262;610;610
203;515;515
203;515;515
272;626;626
272;626;626
023A;570;570
023A;570;570
024A;586;586
024A;586;586
01F3;499;499
01F3;499;499
01D3;467;467
01D3;467;467
174;372;372
174;372;372
013D;317;317
013D;317;317
00F5;245;245
00F5;245;245
018C;396;396
018C;396;396
154;340;340
154;340;340
01B3;435;435
01B3;435;435
016C;364;364
016C;364;364
017C;380;380
017C;380;380
014C;332;332
014C;332;332
135;309;309
135;309;309
135;309;309
135;309;309
013D;317;317
013D;317;317
013D;317;317
013D;317;317
012D;301;301
012D;301;301
016C;364;364
016C;364;364
011D;285;285
011D;285;285
174;372;372
174;372;372
125;293;293
125;293;293
00C6;198;198
00C6;198;198
007E;126;126
007E;126;126
37;55;55
37;55;55
007E;126;126
007E;126;126
76;118;118
76;118;118
86;134;134
86;134;134
96;150;150
96;150;150
006F;111;111
006F;111;111
47;71;71
47;71;71
003F;63;63
003F;63;63
002F;47;47
002F;47;47
FFD8;65496;-40
FFD8;65496;-40
FFB0;65456;-80
FFB0;65456;-80
FF99;65433;-103
FF99;65433;-103
FF51;65361;-175
FF51;65361;-175
FF2A;65322;-214
FF2A;65322;-214
FECB;65227;-309
FECB;65227;-309
FF0A;65290;-246
FF0A;65290;-246
FEFA;65274;-262
FEFA;65274;-262
FF12;65298;-238
FF12;65298;-238
FEEA;65258;-278
FEEA;65258;-278
FECB;65227;-309
FECB;65227;-309
FFD8;65496;-40
FFD8;65496;-40
001F;31;31
001F;31;31
0;0;0
0;0;0
8;8;8
8;8;8
FFF8;65528;-8
FFF8;65528;-8
8;8;8
8;8;8
27;39;39
27;39;39
FFD0;65488;-48
FFD0;65488;-48
000F;15;15
000F;15;15
17;23;23
17;23;23
8;8;8
8;8;8
FFE0;65504;-32
FFE0;65504;-32
0;0;0
0;0;0
0;0;0
0;0;0
FFB8;65464;-72
FFB8;65464;-72
FFE8;65512;-24
FFE8;65512;-24
FFF0;65520;-16
FFF0;65520;-16
FFD8;65496;-40
FFD8;65496;-40
004F;79;79
004F;79;79
FFE0;65504;-32
FFE0;65504;-32
37;55;55
37;55;55
000F;15;15
000F;15;15
8;8;8
8;8;8
27;39;39
27;39;39
27;39;39
27;39;39
001F;31;31
001F;31;31
FFE8;65512;-24
FFE8;65512;-24
0;0;0
0;0;0
FFD0;65488;-48
FFD0;65488;-48
FFE0;65504;-32
FFE0;65504;-32
FFE0;65504;-32
FFE0;65504;-32
FFE8;65512;-24
FFE8;65512;-24
0;0;0
0;0;0
17;23;23
17;23;23
FFC8;65480;-56
FFC8;65480;-56
0;0;0
0;0;0
8;8;8
8;8;8
FFD8;65496;-40
FFD8;65496;-40
0;0;0
0;0;0
27;39;39
27;39;39
FFF0;65520;-16
FFF0;65520;-16
FFF8;65528;-8
FFF8;65528;-8
